구별,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.1538461538461542,0.23170731707317072,0.5250506781537148,0.47096146110797155,0.7475830830771333,76.92307692307693,85.71428571428571,77.728285077951,42.857142857142854,86.48459383753502,570500.0,2780,369.7073844099915,2.1291486932581445
강동구,0.12500000000000022,0.597560975609756,0.5453204168585903,0.10670313148534816,0.3261816773491848,75.0,133.33333333333331,78.84615384615384,33.34742180896027,82.89085545722715,453233.0,773,403.4177644456746,1.7007662013028795
강북구,0.7142857142857144,0.28658536585365857,0.6089071856287422,0.48011956918142196,1.0,114.28571428571428,92.85714285714286,82.35294117647058,43.09623430962343,88.63722159305398,330192.0,748,421.2292542220051,3.089897834949537
관악구,0.3333333333333335,0.4695121951219512,0.36791845995508976,0.0,0.0,88.88888888888889,116.66666666666667,69.0625,30.56171470805617,80.10915706488781,525515.0,1496,385.28892732849954,1.1707639884103744
광진구,0.5000000000000002,1.0,0.7777881736526941,0.4458258440963978,0.3445637603967686,100.0,185.71428571428572,91.66666666666666,42.2009253139458,83.04761904761905,372164.0,707,502.62949674251723,3.0681777781458606
구로구,0.12500000000000022,0.13658536585365855,0.173909742791996,0.2877032081409798,0.0901487528849696,75.0,73.33333333333333,58.362989323843415,38.07280513918629,80.87795144662454,447874.0,1561,325.64707924298756,0.8133470696716042
금천구,1.0,0.3414634146341463,0.580652436848158,0.9999999999999998,0.7453363204505852,133.33333333333331,100.0,80.79470198675497,56.66879387364391,86.46543330087634,255082.0,1015,457.26226249460854,3.667452171932889
노원구,0.5000000000000002,0.3414634146341463,0.2293648743122889,0.22842819955677696,0.6357254480484809,100.0,100.0,61.42131979695431,36.52530779753762,85.53066470804261,569384.0,1265,383.4772923025345,1.9349819365516931
도봉구,0.5000000000000002,0.42682926829268286,1.0,0.5517798264043201,0.8814351386049548,100.0,111.11111111111111,103.921568627451,44.96707431796801,87.62609280430397,348646.0,485,447.62584686083414,3.360044233301958
동대문구,0.5000000000000002,0.3414634146341463,0.645899674639161,0.40328692574188385,0.8551444165884661,100.0,100.0,84.39306358381504,41.090358404846036,87.40188383045526,369496.0,1294,412.8853058191163,2.7457944316036578
동작구,0.5000000000000002,0.0,0.0,0.1869471690156308,0.34941670069129493,100.0,55.55555555555556,48.771929824561404,35.442359249329755,83.0890052356021,412520.0,1091,322.8588498650488,1.036363869706926
마포구,0.5000000000000002,0.12195121951219512,0.6390191555664182,0.048195592659752595,0.5084427219598204,100.0,71.42857142857143,84.01360544217688,31.81996086105675,84.44518940663761,389649.0,574,371.7073271384427,1.8176086896981865
서대문구,0.5000000000000002,0.18780487804878043,0.5756619877128859,0.3894254906361527,0.3647588831926605,100.0,80.0,80.51948051948052,40.728476821192054,83.21984435797665,327163.0,962,384.46780169864917,2.0176512395904798
서초구,0.12500000000000022,0.08536585365853655,0.26449581752525475,0.41530727341151685,0.8611506598555216,75.0,66.66666666666666,63.358778625954194,41.40417457305503,87.45310546060858,450310.0,1930,333.88272532628446,1.75131960445083
성동구,0.5000000000000002,0.25609756097560976,0.8281561876247503,0.2523550848518954,0.7538996043403827,100.0,88.88888888888889,94.44444444444444,37.14996888612321,86.53846153846155,311244.0,1062,407.02176375791805,2.5905084377926384
성북구,0.5000000000000002,0.18780487804878043,0.6145958083832335,0.4194605710008046,0.45326721964431194,100.0,80.0,82.66666666666667,41.51260504201681,83.97464916251698,461260.0,1464,388.15392087120046,2.1751284770771306
송파구,0.36363636363636376,0.1641651031894935,0.5827265922700053,0.16450413455563617,0.5210086027135219,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,368.1500479617838,1.7960407963650207
양천구,0.9500000000000004,0.22015404364569957,0.5206739662037181,0.685941500061968,0.3466112857386001,130.0,84.21052631578947,77.4869109947644,48.469643753135976,83.06508047585724,479978.0,2034,423.2321615395471,2.7233807956499865
영등포구,0.2857142857142858,0.27161862527716185,0.24047244494062725,0.09324048444900335,0.3266368081546922,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405,82.89473684210526,402985.0,904,354.54796318757064,1.2176826485357704
용산구,0.5000000000000002,0.3414634146341463,0.7326127384406445,0.2734504206118753,0.3532799434940763,100.0,100.0,89.17525773195877,37.70070648683366,83.1219512195122,244203.0,1624,409.99791543830463,2.2008065171807427
은평구,0.5000000000000002,0.08536585365853655,0.6558126217444626,0.25225421324887076,0.7986935732037992,100.0,66.66666666666666,84.93975903614458,37.14733542319749,86.92046739540143,494388.0,1873,375.67422852141016,2.2921262618556693
종로구,0.25000000000000044,0.2017738359201774,0.4992124755228877,0.29733165732118794,0.48119529966146324,83.33333333333334,81.81818181818183,76.30331753554502,38.324175824175825,84.21282163105103,162820.0,1002,363.9918301422871,1.7295132684257166
중구,0.0,0.08536585365853655,0.29958832335329344,0.12069527684545545,0.9615541048047298,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573,88.3093525179856,133240.0,671,320.6495193539508,1.4672035586620154
중랑구,0.3846153846153848,0.2017738359201774,0.5507280892759936,0.3166698600082207,0.5201623592935931,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637,84.54513523006673,414503.0,660,376.6444341953252,1.9739495291133697
